ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
lt_Watershed_3_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_3,188.22,1790664,951.3675486,726615,386.045585,0.5,2.656465838,34.8,184.8900223,35.4,188.0777813,1.002,32.6,0.173201573,0.1902,6.73308,35.77239401
lt_Watershed_5_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_5,268.63,2753813,1025.132338,1310312,487.775751,11.7,43.55433124,46.9,174.5895842,58.5,217.7716562,0.999,54.1,0.20139225,0.1737,10.16145,37.82693668
lt_Watershed_6_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_6,122.51,1216674,993.1221941,584123,476.7961799,0.6,4.897559383,13.2,107.7463064,13.8,112.6438658,1.004,14.6,0.119173945,0.1873,2.58474,21.09819607
lt_Watershed_4_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_4,1345.08,13708196,1019.136111,6496006,482.9456984,85.8,63.78802748,280.2,208.3147471,359.2,267.0473132,0.982,326,0.242364766,0.1689,60.66888,45.10429119
lt_Watershed_8_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_8,160.26,1925546,1201.51379,1126074,702.6544365,0.7,4.367902159,40.7,253.9623112,41.3,257.7062274,0.998,40.9,0.255210283,0.1908,7.88004,49.17034818
lt_Watershed_7_Ward_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_7_Ward,2314.23,30688326,1326.070702,19206825,829.9445172,2946.4,1273.166453,1585,684.8930314,2521.2,1089.433635,0.556,2128.1,0.919571521,0.2103,530.20836,229.1078933
lt_Watershed_10_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_10,1309.41,15380623,1174.622387,7583052,579.1197562,118.6,90.57514453,316.8,241.9410269,333.8,254.9239734,0.767,399.6,0.305175613,0.2132,71.16616,54.34979113
lt_Watershed_9_Blackwood_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_9_Blackwood,2671.07,37575749,1406.767662,24424587,914.4120895,8178.8,3061.993883,9172.3,3433.942203,3325.6,1245.044121,0.192,2795.4,1.046546889,0.314,1044.2384,390.943854
lt_Watershed_13_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_13,211.44,2173747,1028.06801,1261365,596.5593076,4.8,22.7014756,40,189.1789633,44.9,212.3533863,1,44,0.20809686,0.1779,7.98771,37.77766742
lt_Watershed_14_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_14,246.15,2690698,1093.113142,1322728,537.3666464,0.3,1.218769043,58.5,237.6599634,58.9,239.2849888,1.001,55.1,0.223847248,0.1905,11.22045,45.58379037
lt_Watershed_15_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_15,149.32,1489562,997.5636218,690162,462.2033217,0.6,4.018215912,23.9,160.0589338,24.5,164.0771497,1.001,23.8,0.159389231,0.1901,4.65745,31.19106617
lt_Watershed_16_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_16,295.18,2955582,1001.281252,1441140,488.2241344,1.2,4.065316078,51.1,173.1147097,52.2,176.8412494,0.997,50.6,0.171420828,0.1885,9.8397,33.33457551
lt_Watershed_17_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_17,386.9,3754816,970.4874645,1574183,406.8707676,5.6,14.4740243,58.9,152.2357198,64.4,166.4512794,0.998,61.2,0.158180408,0.1802,11.60488,29.99452055
lt_Watershed_18_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_18,1647.08,20362331,1236.268487,10902173,661.9091362,397.3,241.2147558,387.6,235.3255458,287,174.2477597,0.366,2031329,1233.291036,0.2241,64.3167,39.04892294
lt_Watershed_19_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_19,845.73,10312303,1219.337495,5246315,620.3297743,497.3,588.0127227,178.3,210.8237854,106,125.335509,0.157,158.9,0.187885022,0.3012,31.9272,37.7510553
lt_Watershed_11_General_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_11_General,1819.7,22100076,1214.490081,13166827,723.571303,134,73.63851184,527,289.6081772,262.4,144.1995933,0.397,287.9,0.158212892,0.3182,83.49568,45.8843106
lt_Watershed_12_Meeks_Thinn85.2020.ki5krcs.chn_12,Thinn85.2020.ki5krcs.chn_12,lt_Watershed_12_Meeks,1981.45,23568024,1189.433193,12520376,631.8794822,465.9,235.1308385,388.1,195.8666633,191.8,96.79779959,0.225,23054,11.63491383,0.3126,59.95668,30.25899215
